,면적,반려동물 가구밀도,폐사안락사 비율(폐사안락사 수/면적),보호소 밀도,동물병원약국개수,동물병원약국 밀도,target
412,0.86,1837.687209,0.0,0.0,6,7.317073171,0
413,0.63,1666.022222,82.53968253968254,1.587301587301587,6,5.405405405,0
414,1.05,1642.447619,42.85714285714285,0.9523809523809523,6,11.32075472,0
415,1.68,1684.357738,6.547619047619047,0.5952380952380952,7,7.142857143,0
416,0.35,2193.777143,0.0,0.0,7,6.034482759,0
417,0.55,1398.814545,118.1818181818182,1.818181818181818,5,15.15151515,0
418,0.51,2345.929412,0.0,0.0,4,5.263157895,0
419,0.48,2755.572917,0.0,0.0,7,8.333333333,0
420,0.34,3238.011765,0.0,0.0,2,4.545454545,0
421,0.26,2770.234615,0.0,0.0,2,2.325581395,0
422,1.4,834.0428571,0.0,0.0,2,3.174603175,0
423,2.55,765.8258824,0.0,0.0,2,1.904761905,0
424,1.89,725.4486772,0.0,0.0,9,5.357142857,0
